number,name,slug,difficulty,topic,has_solution,current_path
1,Two Sum,two-sum,Easy,Array,yes,solutions/array/01-two-sum
121,Best Time to Buy and Sell Stock,best-time-to-buy-and-sell-stock,Easy,Array,yes,solutions/array/02-best-time-to-buy-and-sell-stock
217,Contains Duplicate,contains-duplicate,Easy,Hashing,yes,solutions/array/03-contains-duplicate
169,Majority Element,majority-element,Easy,Array,no,
283,Move Zeroes,move-zeroes,Easy,Array,no,
977,Squares of a Sorted Array,squares-of-a-sorted-array,Easy,Array,no,
53,Maximum Subarray,maximum-subarray,Medium,Array,yes,solutions/array/05-maximum-subarray
57,Insert Interval,insert-interval,Medium,Array,yes,solutions/interval/01-insert-interval
238,Product of Array Except Self,product-of-array-except-self,Medium,Array,yes,solutions/array/04-product-of-array-except-self
15,3Sum,3sum,Medium,Array,yes,solutions/array/09-3sum
11,Container With Most Water,container-with-most-water,Medium,Array,yes,solutions/array/10-container-with-most-water
33,Search in Rotated Sorted Array,search-in-rotated-sorted-array,Medium,Array,yes,solutions/array/08-search-in-rotated-sorted-array
56,Merge Intervals,merge-intervals,Medium,Array,yes,solutions/interval/02-merge-intervals
54,Spiral Matrix,spiral-matrix,Medium,Array,yes,solutions/matrix/02-spiral-matrix
48,Rotate Image,rotate-image,Medium,Array,yes,solutions/matrix/03-rotate-image
31,Next Permutation,next-permutation,Medium,Array,no,
287,Find the Duplicate Number,find-the-duplicate-number,Medium,Array,no,
189,Rotate Array,rotate-array,Medium,Array,no,
658,Find K Closest Elements,find-k-closest-elements,Medium,Array,no,
16,3Sum Closest,3sum-closest,Medium,Array,no,
73,Set Matrix Zeroes,set-matrix-zeroes,Medium,Array,yes,solutions/matrix/01-set-matrix-zeroes
74,Search a 2D Matrix,search-a-2d-matrix,Medium,Array,no,
153,Find Minimum in Rotated Sorted Array,find-minimum-in-rotated-sorted-array,Medium,Array,yes,solutions/array/07-find-minimum-in-rotated-sorted-array
152,Maximum Product Subarray,maximum-product-subarray,Medium,Dynamic Programming,yes,solutions/array/06-maximum-product-subarray
42,Trapping Rain Water,trapping-rain-water,Hard,Array,no,
4,Median of Two Sorted Arrays,median-of-two-sorted-arrays,Hard,Array,no,
41,First Missing Positive,first-missing-positive,Hard,Array,no,
20,Valid Parentheses,valid-parentheses,Easy,Stack,yes,solutions/string/06-valid-parentheses
232,Implement Queue using Stacks,implement-queue-using-stacks,Easy,Stack,no,
150,Evaluate Reverse Polish Notation,evaluate-reverse-polish-notation,Medium,Stack,no,
155,Min Stack,min-stack,Medium,Stack,no,
394,Decode String,decode-string,Medium,Stack,no,
739,Daily Temperatures,daily-temperatures,Medium,Stack,no,
735,Asteroid Collision,asteroid-collision,Medium,Stack,no,
227,Basic Calculator II,basic-calculator-ii,Medium,Stack,no,
224,Basic Calculator,basic-calculator,Hard,Stack,no,
84,Largest Rectangle in Histogram,largest-rectangle-in-histogram,Hard,Stack,no,
895,Maximum Frequency Stack,maximum-frequency-stack,Hard,Stack,no,
239,Sliding Window Maximum,sliding-window-maximum,Hard,Stack,no,
21,Merge Two Sorted Lists,merge-two-sorted-lists,Easy,Linked List,yes,solutions/linked-list/03-merge-two-sorted-lists
141,Linked List Cycle,linked-list-cycle,Easy,Linked List,yes,solutions/linked-list/02-linked-list-cycle
206,Reverse Linked List,reverse-linked-list,Easy,Linked List,yes,solutions/linked-list/01-reverse-linked-list
234,Palindrome Linked List,palindrome-linked-list,Easy,Linked List,no,
876,Middle of the Linked List,middle-of-the-linked-list,Easy,Linked List,no,
19,Remove Nth Node From End of List,remove-nth-node-from-end-of-list,Medium,Linked List,yes,solutions/linked-list/05-remove-nth-node-from-end-of-list
24,Swap Nodes in Pairs,swap-nodes-in-pairs,Medium,Linked List,no,
328,Odd Even Linked List,odd-even-linked-list,Medium,Linked List,no,
2,Add Two Numbers,add-two-numbers,Medium,Linked List,no,
148,Sort List,sort-list,Medium,Linked List,no,
143,Reorder List,reorder-list,Medium,Linked List,yes,solutions/linked-list/06-reorder-list
61,Rotate List,rotate-list,Medium,Linked List,no,
23,Merge k Sorted Lists,merge-k-sorted-lists,Hard,Linked List,yes,solutions/linked-list/04-merge-k-sorted-lists
25,Reverse Nodes in k-Group,reverse-nodes-in-k-group,Hard,Linked List,no,
242,Valid Anagram,valid-anagram,Easy,Hashing,yes,solutions/string/04-valid-anagram
383,Ransom Note,ransom-note,Easy,Hashing,no,
49,Group Anagrams,group-anagrams,Medium,Hashing,yes,solutions/string/05-group-anagrams
36,Valid Sudoku,valid-sudoku,Medium,Hashing,no,
146,LRU Cache,lru-cache,Medium,Hashing,no,
128,Longest Consecutive Sequence,longest-consecutive-sequence,Medium,Hashing,yes,solutions/graph/05-longest-consecutive-sequence
525,Contiguous Array,contiguous-array,Medium,Hashing,no,
560,Subarray Sum Equals K,subarray-sum-equals-k,Medium,Hashing,no,
380,Insert Delete GetRandom O(1),insert-delete-getrandom-o1,Medium,Hashing,no,
336,Palindrome Pairs,palindrome-pairs,Hard,Hashing,no,
278,First Bad Version,first-bad-version,Easy,Binary Search,no,
704,Binary Search,binary-search,Easy,Binary Search,no,
981,Time Based Key-Value Store,time-based-key-value-store,Medium,Binary Search,no,
528,Random Pick with Weight,random-pick-with-weight,Medium,Binary Search,no,
136,Single Number,single-number,Easy,Bit Manipulation,no,
191,Number of 1 Bits,number-of-1-bits,Easy,Bit Manipulation,yes,solutions/binary/02-number-of-1-bits
338,Counting Bits,counting-bits,Easy,Bit Manipulation,yes,solutions/binary/03-counting-bits
190,Reverse Bits,reverse-bits,Easy,Bit Manipulation,yes,solutions/binary/05-reverse-bits
268,Missing Number,missing-number,Easy,Bit Manipulation,yes,solutions/binary/04-missing-number
125,Valid Palindrome,valid-palindrome,Easy,String,yes,solutions/string/07-valid-palindrome
409,Longest Palindrome,longest-palindrome,Easy,String,no,
13,Roman to Integer,roman-to-integer,Easy,String,no,
14,Longest Common Prefix,longest-common-prefix,Easy,String,no,
67,Add Binary,add-binary,Easy,String,no,
844,Backspace String Compare,backspace-string-compare,Easy,String,no,
9,Palindrome Number,palindrome-number,Easy,String,no,
3,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,Medium,String,yes,solutions/string/01-longest-substring-without-repeating-characters
5,Longest Palindromic Substring,longest-palindromic-substring,Medium,String,yes,solutions/string/08-longest-palindromic-substring
8,String to Integer (atoi),string-to-integer-atoi,Medium,String,no,
438,Find All Anagrams in a String,find-all-anagrams-in-a-string,Medium,String,no,
424,Longest Repeating Character Replacement,longest-repeating-character-replacement,Medium,String,yes,solutions/string/02-longest-repeating-character-replacement
271,Encode and Decode Strings,encode-and-decode-strings,Medium,String,no,
7,Reverse Integer,reverse-integer,Medium,String,no,
76,Minimum Window Substring,minimum-window-substring,Hard,String,yes,solutions/string/03-minimum-window-substring
32,Longest Valid Parentheses,longest-valid-parentheses,Hard,String,no,
226,Invert Binary Tree,invert-binary-tree,Easy,Tree,yes,solutions/tree/03-invert-binary-tree
110,Balanced Binary Tree,balanced-binary-tree,Easy,Tree,no,
104,Maximum Depth of Binary Tree,maximum-depth-of-binary-tree,Easy,Tree,yes,solutions/tree/01-maximum-depth-of-binary-tree
543,Diameter of Binary Tree,diameter-of-binary-tree,Easy,Tree,no,
100,Same Tree,same-tree,Easy,Tree,yes,solutions/tree/02-same-tree
101,Symmetric Tree,symmetric-tree,Easy,Tree,no,
108,Convert Sorted Array to Binary Search Tree,convert-sorted-array-to-binary-search-tree,Easy,Tree,no,
572,Subtree of Another Tree,subtree-of-another-tree,Easy,Tree,yes,solutions/tree/07-subtree-of-another-tree
235,Lowest Common Ancestor of a Binary Search Tree,lowest-common-ancestor-of-a-binary-search-tree,Medium,Tree,yes,solutions/tree/11-lowest-common-ancestor-of-a-binary-search-tree
98,Validate Binary Search Tree,validate-binary-search-tree,Medium,Tree,yes,solutions/tree/09-validate-binary-search-tree
102,Binary Tree Level Order Traversal,binary-tree-level-order-traversal,Medium,Tree,yes,solutions/tree/05-binary-tree-level-order-traversal
208,Implement Trie (Prefix Tree),implement-trie-prefix-tree,Medium,Tree,yes,solutions/tree/12-implement-trie-prefix-tree
105,Construct Binary Tree from Preorder and Inorder Traversal,construct-binary-tree-from-preorder-and-inorder-traversal,Medium,Tree,yes,solutions/tree/08-construct-binary-tree-from-preorder-and-inorder-traversal
199,Binary Tree Right Side View,binary-tree-right-side-view,Medium,Tree,no,
230,Kth Smallest Element in a BST,kth-smallest-element-in-a-bst,Medium,Tree,yes,solutions/tree/10-kth-smallest-element-in-a-bst
236,Lowest Common Ancestor of a Binary Tree,lowest-common-ancestor-of-a-binary-tree,Medium,Tree,no,
211,Design Add and Search Words Data Structure,design-add-and-search-words-data-structure,Medium,Tree,yes,solutions/tree/13-add-and-search-word-data-structure-design
113,Path Sum II,path-sum-ii,Medium,Tree,no,
662,Maximum Width of Binary Tree,maximum-width-of-binary-tree,Medium,Tree,no,
103,Binary Tree Zigzag Level Order Traversal,binary-tree-zigzag-level-order-traversal,Medium,Tree,no,
437,Path Sum III,path-sum-iii,Medium,Tree,no,
285,Inorder Successor in BST,inorder-successor-in-bst,Medium,Tree,no,
310,Minimum Height Trees,minimum-height-trees,Medium,Tree,no,
863,All Nodes Distance K in Binary Tree,all-nodes-distance-k-in-binary-tree,Medium,Tree,no,
297,Serialize and Deserialize Binary Tree,serialize-and-deserialize-binary-tree,Hard,Tree,yes,solutions/tree/06-serialize-and-deserialize-binary-tree
124,Binary Tree Maximum Path Sum,binary-tree-maximum-path-sum,Hard,Tree,yes,solutions/tree/04-binary-tree-maximum-path-sum
212,Word Search II,word-search-ii,Hard,Tree,yes,solutions/tree/14-word-search-ii
733,Flood Fill,flood-fill,Easy,Graph,no,
542,01 Matrix,01-matrix,Medium,Graph,no,
133,Clone Graph,clone-graph,Medium,Graph,yes,solutions/graph/01-clone-graph
200,Number of Islands,number-of-islands,Medium,Graph,yes,solutions/graph/04-number-of-islands
207,Course Schedule,course-schedule,Medium,Graph,yes,solutions/graph/02-course-schedule
721,Accounts Merge,accounts-merge,Medium,Graph,no,
994,Rotting Oranges,rotting-oranges,Medium,Graph,no,
417,Pacific Atlantic Water Flow,pacific-atlantic-water-flow,Medium,Graph,yes,solutions/graph/03-pacific-atlantic-water-flow
210,Course Schedule II,course-schedule-ii,Medium,Graph,no,
323,Number of Connected Components in an Undirected Graph,number-of-connected-components-in-an-undirected-graph,Medium,Graph,no,
1197,Minimum Knight Moves,minimum-knight-moves,Medium,Graph,no,
261,Graph Valid Tree,graph-valid-tree,Medium,Graph,no,
787,Cheapest Flights Within K Stops,cheapest-flights-within-k-stops,Medium,Graph,no,
1730,Shortest Path to Get Food,shortest-path-to-get-food,Medium,Graph,no,
127,Word Ladder,word-ladder,Hard,Graph,no,
269,Alien Dictionary,alien-dictionary,Hard,Graph,no,
815,Bus Routes,bus-routes,Hard,Graph,no,
70,Climbing Stairs,climbing-stairs,Easy,Dynamic Programming,yes,solutions/dynamic-programming/01-climbing-stairs
322,Coin Change,coin-change,Medium,Dynamic Programming,yes,solutions/dynamic-programming/02-coin-change
139,Word Break,word-break,Medium,Dynamic Programming,yes,solutions/dynamic-programming/05-word-break
416,Partition Equal Subset Sum,partition-equal-subset-sum,Medium,Dynamic Programming,no,
198,House Robber,house-robber,Medium,Dynamic Programming,yes,solutions/dynamic-programming/07-house-robber
62,Unique Paths,unique-paths,Medium,Dynamic Programming,yes,solutions/dynamic-programming/10-unique-paths
300,Longest Increasing Subsequence,longest-increasing-subsequence,Medium,Dynamic Programming,yes,solutions/dynamic-programming/03-longest-increasing-subsequence
91,Decode Ways,decode-ways,Medium,Dynamic Programming,yes,solutions/dynamic-programming/09-decode-ways
55,Jump Game,jump-game,Medium,Dynamic Programming,yes,solutions/dynamic-programming/11-jump-game
221,Maximal Square,maximal-square,Medium,Dynamic Programming,no,
377,Combination Sum IV,combination-sum-iv,Medium,Dynamic Programming,yes,solutions/dynamic-programming/06-combination-sum-iv
329,Longest Increasing Path in a Matrix,longest-increasing-path-in-a-matrix,Hard,Dynamic Programming,no,
1235,Maximum Profit in Job Scheduling,maximum-profit-in-job-scheduling,Hard,Dynamic Programming,no,
39,Combination Sum,combination-sum,Medium,Backtracking,no,
46,Permutations,permutations,Medium,Backtracking,no,
17,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,Medium,Backtracking,no,
78,Subsets,subsets,Medium,Backtracking,no,
79,Word Search,word-search,Medium,Backtracking,yes,solutions/matrix/04-word-search
22,Generate Parentheses,generate-parentheses,Medium,Backtracking,no,
37,Sudoku Solver,sudoku-solver,Hard,Backtracking,no,
51,N-Queens,n-queens,Hard,Backtracking,no,
75,Sort Colors,sort-colors,Medium,Sorting,no,
973,K Closest Points to Origin,k-closest-points-to-origin,Medium,Sorting,no,
252,Meeting Rooms,meeting-rooms,Easy,Sorting,no,
179,Largest Number,largest-number,Medium,Sorting,no,
215,Kth Largest Element in an Array,kth-largest-element-in-an-array,Medium,Sorting,no,
253,Meeting Rooms II,meeting-rooms-ii,Medium,Sorting,no,
692,Top K Frequent Words,top-k-frequent-words,Medium,Sorting,no,
295,Find Median from Data Stream,find-median-from-data-stream,Hard,Sorting,yes,solutions/heap/02-find-median-from-data-stream
759,Employee Free Time,employee-free-time,Hard,Sorting,no,
632,Smallest Range Covering Elements from K Lists,smallest-range-covering-elements-from-k-lists,Hard,Sorting,no,
134,Gas Station,gas-station,Medium,Greedy,no,
621,Task Scheduler,task-scheduler,Medium,Greedy,no,
435,Non-overlapping Intervals,non-overlapping-intervals,Medium,Greedy,yes,solutions/interval/03-non-overlapping-intervals
50,Pow(x n),powx-n,Medium,Math,no,
362,Design Hit Counter,design-hit-counter,Medium,Design,no,
588,Design In-Memory File System,design-in-memory-file-system,Hard,Design,no,
